Country,Severe Wasting,Wasting in %,Overweight,Stunting,Underweight,Total
SYRIAN ARAB REPUBLIC (THE),5.05,9.566666666666665,17.825000000000006,28.55,10.05,42.491666666666674
TAJIKISTAN,2.483333333333333,8.290909090909091,6.116666666666666,33.77272727272727,10.933333333333332,27.82424242424242
THAILAND,1.475,6.083333333333332,6.619999999999999,17.733333333333334,12.466666666666667,26.644999999999996
TIMOR-LESTE,4.775,15.62,3.65,55.38,42.8,66.845
TOGO,2.0375,7.712499999999999,2.3999999999999995,30.922222222222228,18.933333333333326,31.083333333333325
TONGA,2.1,3.25,17.3,5.15,1.9,24.549999999999997
TRINIDAD AND TOBAGO,1.4,5.466666666666666,6.633333333333333,6.933333333333333,5.133333333333334,18.633333333333333
TUNISIA,1.1,3.583333333333334,9.080000000000002,12.45,3.65,17.413333333333334
TURKEY,0.6,2.1,7.75,14.35,4.842857142857143,15.292857142857143
TURKMENISTAN,1.6,6.166666666666668,5.2,19.5,7.633333333333333,20.6
TUVALU,0.9,3.3,6.3,10.0,1.6,12.1
UGANDA,1.3333333333333337,4.522222222222221,4.277777777777779,38.333333333333336,15.533333333333335,25.666666666666668
UKRAINE,3.8,8.2,26.5,22.9,4.1,42.6
UNITED REPUBLIC OF TANZANIA (THE),1.5,5.054545454545455,4.540000000000001,40.99090909090909,17.727272727272727,28.82181818181818
UNITED STATES OF AMERICA (THE),0.04,0.5142857142857143,7.414285714285714,2.914285714285714,0.8800000000000001,8.848571428571429
URUGUAY,0.65,2.3833333333333333,9.166666666666666,14.242857142857144,5.128571428571429,17.32857142857143
UZBEKISTAN,2.975,6.4750000000000005,10.925,23.7,7.0,27.375
VANUATU,1.7,5.8,4.800000000000002,26.766666666666666,11.266666666666666,23.566666666666666
VENEZUELA (BOLIVARIAN REPUBLIC OF),,4.333333333333333,5.40952380952381,16.957142857142866,4.242857142857143,
VIET NAM,2.3312500000000003,8.661904761904761,3.3176470588235287,34.922727272727265,22.91818181818182,37.22898363891011
YEMEN,5.3,15.242857142857142,4.842857142857143,51.9,37.785714285714285,63.17142857142857
ZAMBIA,2.042857142857143,5.542857142857144,7.2285714285714295,48.1375,17.885714285714286,32.7
ZIMBABWE,1.3888888888888888,4.166666666666666,5.788888888888889,30.45555555555555,10.71,22.054444444444446
